yyyy,mm,dd,hh,temp,sal,co2,do,ph,omega_a,omega_c,TA_calc,datetime,doy,do_mgpl,co2_thermal,co2_corr
2016,9,4,6,16.23775,31.231572582495726,854.58459,297.607421875,7.7202,1.0717901643312662,1.6778659037749986,2027.2906048770983,2016-09-04T06:00:00Z,248,9.779959026855469,706.78,714.34
2016,9,4,7,15.9758,31.285964134319393,901.10164,296.630859375,7.72,1.122617220901658,1.757891330359296,2135.935353268065,2016-09-04T07:00:00Z,248,9.747867282714843,698.99,761.62
2016,9,4,8,16.154400000000003,31.338286744603064,842.12799,291.50390625,7.6357,0.7154655393544921,1.1199203707408438,1626.569048657961,2016-09-04T08:00:00Z,248,9.579385625976565,704.29,706.41
2016,9,4,9,16.338749999999997,31.291827143512318,754.77449,295.41015625,7.6458,0.6758438631215056,1.0575912608878226,1496.4797980407993,2016-09-04T09:00:00Z,248,9.707752602539065,709.81,628.22
2016,9,4,10,16.6038,31.267795624474385,713.73394,292.3583984375,7.7301,0.9458154939336912,1.4794329552722651,1736.6926401898584,2016-09-04T10:00:00Z,248,9.607465902099609,717.81,587.44
2016,9,4,11,16.95805,31.082658529592486,688.66835,291.50390625,7.8284,1.4476724283335864,2.2642741627624736,2136.781909448447,2016-09-04T11:00:00Z,248,9.579385625976565,728.65,558.38
2016,9,4,12,17.044649999999997,30.551441578102946,789.28534,287.59765625,7.715,0.9764667361697713,1.5287239111756568,1836.2880648319547,2016-09-04T12:00:00Z,248,9.451018649414065,731.32,637.62
2016,9,4,13,17.0162,30.485094456916457,795.33311,289.55078125,7.6656,0.7826995910556304,1.2257060787526761,1640.1644745538383,2016-09-04T13:00:00Z,248,9.515202137695313,730.44,643.28
2016,9,4,14,16.73185,30.65276825209044,824.27496,285.0341796875,7.6878,0.8932541742981923,1.398933192210773,1796.8963831826509,2016-09-04T14:00:00Z,248,9.366777821044922,721.71,674.75
2016,9,4,15,16.762050000000002,31.012256326024083,835.74906,302.3681640625,7.67,0.8424065873752867,1.3179556644686414,1747.199315130735,2016-09-04T15:00:00Z,248,9.936406279541016,722.63,683.27
2016,9,4,16,16.853299999999997,30.998370495816175,834.16010000000006,311.279296875,7.7818,1.4243286725237,2.228291254436274,2310.059642947602,2016-09-04T16:00:00Z,248,10.229243444824219,725.43,679.35
2016,9,4,17,16.5873,30.985711971901353,NA,310.6689453125,7.7973,NA,NA,NA,2016-09-04T17:00:00Z,248,10.20918610473633,717.31,NA
2016,9,4,18,16.395,31.088639701837828,780.13445,300.6591796875,7.7987,1.4064965553507083,2.2018970784966094,2245.13419576655,2016-09-04T18:00:00Z,248,9.880245727294922,711.5,647.78
