date, datatype, valuestation,attributes
2015-01-14T00:00:00,AWND,2.1,GHCND:USW00014764,",,W,"
2015-01-14T00:00:00,PRCP,0.0,GHCND:USW00014764,",,W,2400"
2015-01-14T00:00:00,SNOW,0.0,GHCND:USW00014764,",,W,"
2015-01-14T00:00:00,SNWD,150.0,GHCND:USW00014764,",,W,2400"
2015-01-14T00:00:00,TAVG,-13.0,GHCND:USW00014764,"H,,S,"
2015-01-14T00:00:00,TMAX,-4.3,GHCND:USW00014764,",,W,2400"
2015-01-14T00:00:00,TMIN,-21.0,GHCND:USW00014764,",,W,2400"
2015-01-14T00:00:00,WDF2,350,GHCND:USW00014764,",,W,"
2015-01-14T00:00:00,WDF5,360,GHCND:USW00014764,",,W,"
2015-01-14T00:00:00,WSF2,3.6,GHCND:USW00014764,",,W,"
2015-01-14T00:00:00,WSF5,4.0,GHCND:USW00014764,",,W,"
2015-01-14T00:00:00,WT01,1,GHCND:USW00014764,",,W,"
2015-01-14T00:00:00,WT08,1,GHCND:USW00014764,",,W,"
2015-01-15T00:00:00,AWND,3.1,GHCND:USW00014764,",,W,"
2015-01-15T00:00:00,PRCP,0.8,GHCND:USW00014764,",,W,2400"
2015-01-15T00:00:00,SNOW,10.0,GHCND:USW00014764,",,W,"
2015-01-15T00:00:00,SNWD,150.0,GHCND:USW00014764,",,W,2400"
2015-01-15T00:00:00,TAVG,-3.7,GHCND:USW00014764,"H,,S,"
2015-01-15T00:00:00,TMAX,-1.6,GHCND:USW00014764,",,W,2400"
2015-01-15T00:00:00,TMIN,-6.6,GHCND:USW00014764,",,W,2400"
2015-01-15T00:00:00,WDF2,360,GHCND:USW00014764,",,W,"
2015-01-15T00:00:00,WDF5,350,GHCND:USW00014764,",,W,"
2015-01-15T00:00:00,WSF2,5.4,GHCND:USW00014764,",,W,"
2015-01-15T00:00:00,WSF5,6.7,GHCND:USW00014764,",,W,"
2015-01-15T00:00:00,WT01,1,GHCND:USW00014764,",,W,"
2015-01-15T00:00:00,WT08,1,GHCND:USW00014764,",,W,"
